"","metric","Hyp.No1","Hyp.No2","Hyp.No3","Hyp.No4","Hyp.No5","Hyp.No6","Hyp.No7","Hyp.No8","seed","case"
"35","statistic",12.520752166508,4.23658768358352,1.31436042298374,5.49925929892197,6.4636248238596,4.1369067577277,5.15756312773468,0.548283951961544,18,"n = 100"
"36","p.value",0.000201228419307822,0.0197808026778362,0.0960540547949882,0.00951226518361529,0.00550524071501228,0.0209788866871176,0.0115726751373314,0.229509859677396,18,"n = 100"
"37","statistic",0.144110166863098,4.62857142857143,4.54998413724585,5.98762205750568,2.83900915769275,0.0979591836734694,3.11399443929564,0.980731324497075,19,"n = 100"
"38","p.value",0.352114331952492,0.0157218672729462,8.41137683504305e-06,0.00720330533381104,0.0460004647555966,0.377146288011498,0.0388111885769436,0.161009160302084,19,"n = 100"
"39","statistic",6.11507914143691,2.85365618413129,3.81270953276224,0.235287828947368,2.36377840909091,1.55007904245709,0.449528107895316,2.10521647730531,20,"n = 100"
"40","p.value",0.00670167059621168,0.0455831964173217,0.000130134415454,0.31381520154878,0.0620905442568402,0.106561886223573,0.251279566802855,0.0733987835025345,20,"n = 100"
"41","statistic",11.9863219678115,5.06168879719214,3.99064364229484,3.47250405844156,5.55314195508271,1.25709264905149,3.95895286253759,3.21170629526741,21,"n = 100"
"42","p.value",0.000267962301205809,0.0122301956658775,6.81846130803362e-05,0.0311983937095881,0.00922377190353598,0.13110106536133,0.0233113485978791,0.0365566003358303,21,"n = 100"
"43","statistic",5.66586176675358,6.84549534574468,2.93299372428547,5.56877777359528e-31,6.16346905739906e-31,0.0019739029255319,0.829953652888789,0.046078431372549,22,"n = 100"
"44","p.value",0.00864910818900193,0.00444325281146582,0.00212637755349779,0.5,0.5,0.517718628564315,0.181142965547963,0.4150166451775,22,"n = 100"
"45","statistic",2.35447087221641,1.55235497101876,3.4436680869067,0.793106542247744,0.361697517796184,1.13102233406732,6.68252001670105,1.9634168622543e-30,23,"n = 100"
"46","p.value",0.0624621333181156,0.106394059928516,0.000427736759446581,0.186581212647621,0.273782492882442,0.143778689112967,0.0048681441161367,0.499999999999999,23,"n = 100"
"47","statistic",15.2756571520722,3.44580869645229,4.0620404534207,1.29593154417873e-31,5.52300846889456,8.61200670779475,8.57984676590815,10.3220236101486,24,"n = 100"
"48","p.value",4.64530568225751e-05,0.0317061910471456,4.97687183043874e-05,0.5,0.00938397771452624,0.00166977081724222,0.00169951987096361,0.000657260393948181,24,"n = 100"
"49","statistic",11.1359368836292,3.70042977265649,3.56963723282891,1.4115327359905,7.82300770650596,1.69773755656109,8.61538461538461,5.40798720447843,25,"n = 100"
"50","p.value",0.00042335576922054,0.0271992272893007,0.000312042584172787,0.117401058467864,0.00257926390970256,0.0962920606742213,0.00166667701256829,0.0100224077777695,25,"n = 100"
"51","statistic",6.32102015631427,1.72698412698413,2.65284149216806,5.13392857142857,1.01318175184468,0.0895473251028807,4.60985215476565,0.534234092942733,26,"n = 100"
"52","p.value",0.00596574832581893,0.0943982555447926,0.00470296218207966,0.0117312822427166,0.157070897282315,0.382376714308983,0.0158943869068358,0.232416089111219,26,"n = 100"
"53","statistic",14.0463982605068,1.70046269306956,4.95476208504506,9.90180291118058,7.98173527970314,4.84599613109927,2.74008208574158,8.15850442928419,27,"n = 100"
"54","p.value",8.91775457553392e-05,0.0961137390340331,1.58621764099424e-06,0.000825584644890647,0.00236258140364694,0.0138551915907273,0.0489298699185087,0.00214298502091187,27,"n = 100"
"55","statistic",3.36231112394885,3.00237148869368,4.72883949602209,7.38256086748425,7.46970338807074,2.13425966131133,3.33478072079896,6.67234042553191,28,"n = 100"
"56","p.value",0.0333521967716798,0.0415713669908437,4.5137838665675e-06,0.00329296630859411,0.00313729440960991,0.0720199942559598,0.0339147238041671,0.00489602591685752,28,"n = 100"
"57","statistic",5.05985858585859,1.2775836038961,3.9266392182896,0.609105314161494,2.81839576194415,3.7277374353289,0.817738562091504,3.22354116795636,29,"n = 100"
"58","p.value",0.0122431179662213,0.129174403573719,8.38314128658953e-05,0.217562437075516,0.0465947501334471,0.0267579194132819,0.182921093916203,0.0362932225588158,29,"n = 100"
"59","statistic",11.4978461753573,6.5660389656585,3.02403247441019,2.89589066132782,1.3254546201307,1.29852561114168,11.2497389517004,7.55727534115375,30,"n = 100"
"60","p.value",0.000348384411444714,0.00519715185803759,0.00161194949300812,0.0444028407815933,0.124807729076118,0.127241356695793,0.000398171073773572,0.00298841434337021,30,"n = 100"
"61","statistic",13.7514970533948,10.5422283496732,4.02634643869013,7.44650900900901,6.9413021618904,1.21470071877065,9.31344151631241,5.44619307274841,31,"n = 100"
"62","p.value",0.000104327230203069,0.000583388304116214,5.71080599141299e-05,0.00317798037009892,0.00421138874405627,0.135201575404516,0.00113739395344718,0.00980550821014231,31,"n = 100"
"63","statistic",9.21822742474916,4.17854763491006,3.72853836744566,7.18836805555556,9.43811458333333,6.75,13.1877990430622,12.9607797475962,32,"n = 100"
"64","p.value",0.00119808713949388,0.0204693846389693,0.000166748772366156,0.00366888433306766,0.00106260930912369,0.00468738422971745,0.000140888818029909,0.000159042336145521,32,"n = 100"
"65","statistic",7.49455643600134,17.0268872948257,0.399391199581515,0.534092344437172,3.29539697890762,3.36989907854322,0.47459412022817,3.43313075810437,33,"n = 100"
"66","p.value",0.00309428861966187,1.84271170389542e-05,0.34529251039428,0.232445708050483,0.0347371562376526,0.0331989112958627,0.245440607997863,0.0319504288771504,33,"n = 100"
"67","statistic",7.85025744487518,8.09827050236414,3.66528341054668,10.6367008028178,5.2412862127836,1.519911770776,0.873666872169534,1.1837036011779,34,"n = 100"
"68","p.value",0.00254067354322499,0.00221537581396361,0.000206143912896519,0.000554326382508098,0.0110284803808463,0.108816422723019,0.17497107985391,0.138301651854509,34,"n = 100"
