"","H1","H2","H3","H4","H5","H6","H7","H8","graph","seed","case"
"67",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"BonHolm",9,"n = 100"
"68",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",9,"n = 100"
"69",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"coPrimary.1",9,"n = 100"
"70",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"coPrimary.2",9,"n = 100"
"71",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"MesoPhoto.FS",9,"n = 100"
"72",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"MesoPhoto.SA",9,"n = 100"
"73",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Bonferroni",10,"n = 100"
"74",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",10,"n = 100"
"75",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"BonHolm",10,"n = 100"
"76",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",10,"n = 100"
"77",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",10,"n = 100"
"78",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.2",10,"n = 100"
"79",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"MesoPhoto.FS",10,"n = 100"
"80",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"MesoPhoto.SA",10,"n = 100"
"81",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"Bonferroni",11,"n = 100"
"82",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"fixedSequence",11,"n = 100"
"83",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"BonHolm",11,"n = 100"
"84",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Fallback",11,"n = 100"
"85",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"coPrimary.1",11,"n = 100"
"86",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"coPrimary.2",11,"n = 100"
"87",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"MesoPhoto.FS",11,"n = 100"
"88",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"MesoPhoto.SA",11,"n = 100"
"89",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Bonferroni",12,"n = 100"
"90",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",12,"n = 100"
"91",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"BonHolm",12,"n = 100"
"92",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",12,"n = 100"
"93",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",12,"n = 100"
"94",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.2",12,"n = 100"
"95",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.FS",12,"n = 100"
"96",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"MesoPhoto.SA",12,"n = 100"
"97",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Bonferroni",13,"n = 100"
"98",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",13,"n = 100"
"99",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"BonHolm",13,"n = 100"
"100",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",13,"n = 100"
"101",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"coPrimary.1",13,"n = 100"
"102",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"coPrimary.2",13,"n = 100"
"103",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"MesoPhoto.FS",13,"n = 100"
"104",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"MesoPhoto.SA",13,"n = 100"
"105",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Bonferroni",14,"n = 100"
"106",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",14,"n = 100"
"107",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"BonHolm",14,"n = 100"
"108",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Fallback",14,"n = 100"
"109",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",14,"n = 100"
"110",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.2",14,"n = 100"
"111",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.FS",14,"n = 100"
"112",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",14,"n = 100"
"113",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Bonferroni",15,"n = 100"
"114",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",15,"n = 100"
"115",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"BonHolm",15,"n = 100"
"116",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Fallback",15,"n = 100"
"117",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",15,"n = 100"
"118",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.2",15,"n = 100"
"119",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.FS",15,"n = 100"
"120",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",15,"n = 100"
"121",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Bonferroni",16,"n = 100"
"122",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",16,"n = 100"
"123",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"BonHolm",16,"n = 100"
"124",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",16,"n = 100"
"125",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",16,"n = 100"
"126",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.2",16,"n = 100"
"127",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.FS",16,"n = 100"
"128",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",16,"n = 100"
"129",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bonferroni",17,"n = 100"
"130",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",17,"n = 100"
"131",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BonHolm",17,"n = 100"
"132",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",17,"n = 100"
"133",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",17,"n = 100"
"134",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.2",17,"n = 100"
"135",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.FS",17,"n = 100"
"136",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",17,"n = 100"
"137",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bonferroni",18,"n = 100"
"138",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",18,"n = 100"
"139",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BonHolm",18,"n = 100"
"140",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",18,"n = 100"
"141",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"coPrimary.1",18,"n = 100"
"142",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"coPrimary.2",18,"n = 100"
"143",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"MesoPhoto.FS",18,"n = 100"
"144",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",18,"n = 100"
"145",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bonferroni",19,"n = 100"
"146",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",19,"n = 100"
"147",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"BonHolm",19,"n = 100"
"148",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Fallback",19,"n = 100"
"149",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",19,"n = 100"
"150",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.2",19,"n = 100"
"151",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.FS",19,"n = 100"
"152",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",19,"n = 100"
"153",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bonferroni",20,"n = 100"
"154",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",20,"n = 100"
"155",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"BonHolm",20,"n = 100"
"156",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",20,"n = 100"
"157",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",20,"n = 100"
"158",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.2",20,"n = 100"
"159",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.FS",20,"n = 100"
"160",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",20,"n = 100"
"161",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bonferroni",21,"n = 100"
"162",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",21,"n = 100"
"163",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"BonHolm",21,"n = 100"
"164",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",21,"n = 100"
"165",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",21,"n = 100"
